,Country,Center,Type,Region,Lat,Long,Location_des
171,Liberia,Lofa Bridge  Clinic,Public Clinic,Grand Cape Mount,7.070854032000001,-10.87771178,"Lofa Bridge  Clinic, Grand Cape Mount"
172,Liberia,Mbaloma,Clinic,Grand Cape Mount,6.9589,-10.99817,"Mbaloma, Grand Cape Mount"
173,Liberia,Than  Clinic,Public Clinic,Grand Cape Mount,6.982556801,-11.22298238,"Than  Clinic, Grand Cape Mount"
174,Liberia,Than Gola-Kanneh,Clinic,Grand Cape Mount,7.107289999999999,-10.89788,"Than Gola-Kanneh, Grand Cape Mount"
175,Liberia,Varguaye  Clinic,Public Clinic,Grand Cape Mount,7.160028155,-10.95773157,"Varguaye  Clinic, Grand Cape Mount"
176,Liberia,Vargue,Clinic,Grand Cape Mount,7.1599699999999995,-10.9588,"Vargue, Grand Cape Mount"
177,Liberia,Weajue  Clinic,Public Clinic,Grand Cape Mount,7.160188361,-10.91971447,"Weajue  Clinic, Grand Cape Mount"
178,Liberia,Wealiquah  Clinic,Public Clinic,Grand Cape Mount,7.220614391,-10.73074762,"Wealiquah  Clinic, Grand Cape Mount"
179,Liberia,Bendaja Community Clinic,Clinic,Grand Cape Mount,7.15797,-11.24366,"Bendaja Community Clinic, Grand Cape Mount"
180,Liberia,Damballa,Health Center,Grand Cape Mount,7.13732,-11.281830000000001,"Damballa, Grand Cape Mount"
181,Liberia,Kawelahun Clinic,Clinic,Grand Cape Mount,7.403789999999999,-11.02775,"Kawelahun Clinic, Grand Cape Mount"
182,Liberia,Kongo Mano  Clinic,Public Clinic,Grand Cape Mount,7.33067,-11.13773,"Kongo Mano  Clinic, Grand Cape Mount"
183,Liberia,Bamballa  Clinic,Public Clinic,Grand Cape Mount,7.22215,-11.17265,"Bamballa  Clinic, Grand Cape Mount"
184,Liberia,Dasalamu  Clinic,Public Clinic,Grand Cape Mount,7.232787632000001,-11.25496138,"Dasalamu  Clinic, Grand Cape Mount"
185,Liberia,Vanja  Clinic,Public Clinic,Grand Cape Mount,7.250316007,-10.98527962,"Vanja  Clinic, Grand Cape Mount"
